"BIXC011K.Code.or.Value","BIXC011K.Value.Description","BIXC011K.Count","BIXC011K.Cumulative","BIXC011K.Skip.to.Item"
"18.04 to 617.05","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
