"PAQ724h.Code.or.Value","PAQ724h.Value.Description","PAQ724h.Count","PAQ724h.Cumulative","PAQ724h.Skip.to.Item"
"8","FOOTBALL",282,282,NA
".","Missing",8973,9255,NA
