"WTMREP20.Code.or.Value","WTMREP20.Value.Description","WTMREP20.Count","WTMREP20.Cumulative","WTMREP20.Skip.to.Item"
"0 to 261809.66639","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
