"LBD199.Code.or.Value","LBD199.Value.Description","LBD199.Count","LBD199.Cumulative","LBD199.Skip.to.Item"
"0.0004 to 1.7719","Range of Values",1861,1861,NA
".","Missing",424,2285,NA
