"LBCHXC.Code.or.Value","LBCHXC.Value.Description","LBCHXC.Count","LBCHXC.Cumulative","LBCHXC.Skip.to.Item"
"3.253 to 340","Range of Values",293,293,NA
".","Missing",8,301,NA
