"DUQ211.Code.or.Value","DUQ211.Value.Description","DUQ211.Count","DUQ211.Cumulative","DUQ211.Skip.to.Item"
"1","Yes",868,868,NA
"2","No",869,1737,NA
"7","Refused",0,1737,NA
"9","Don't know",1,1738,NA
".","Missing",2834,4572,NA
