"LBDVHTLC.Code.or.Value","LBDVHTLC.Value.Description","LBDVHTLC.Count","LBDVHTLC.Cumulative","LBDVHTLC.Skip.to.Item"
"0","At or above detection limit",12,12,NA
"1","Below lower detection limit",2831,2843,NA
".","Missing",329,3172,NA
