"RFXT151.Code.or.Value","RFXT151.Value.Description","RFXT151.Count","RFXT151.Cumulative","RFXT151.Skip.to.Item"
"1318 to 1327","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
