"RFXT018.Code.or.Value","RFXT018.Value.Description","RFXT018.Count","RFXT018.Cumulative","RFXT018.Skip.to.Item"
"141 to 150","Range of Values",33711,33711,NA
".","Missing",10,33721,NA
