"WTSHM11.Code.or.Value","WTSHM11.Value.Description","WTSHM11.Count","WTSHM11.Cumulative","WTSHM11.Skip.to.Item"
"0.0000000 to 769069.9116500","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
