"LB2GLU.Code.or.Value","LB2GLU.Value.Description","LB2GLU.Count","LB2GLU.Cumulative","LB2GLU.Skip.to.Item"
"66.1 to 317.9","Range of Values",212,212,NA
".","Missing",345,557,NA
