"WTSPP29.Code.or.Value","WTSPP29.Value.Description","WTSPP29.Count","WTSPP29.Cumulative","WTSPP29.Skip.to.Item"
"0 to 841946.66863","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
