"PAQ772c.Code.or.Value","PAQ772c.Value.Description","PAQ772c.Count","PAQ772c.Cumulative","PAQ772c.Skip.to.Item"
"3","Other (specify)",82,82,NA
".","Missing",9173,9255,NA
