"TYXP138.Code.or.Value","TYXP138.Value.Description","TYXP138.Count","TYXP138.Cumulative","TYXP138.Skip.to.Item"
"-296 to 103","Range of Values",4315,4315,NA
".","Missing",1270,5585,NA
