"DXXPT24X.Code.or.Value","DXXPT24X.Value.Description","DXXPT24X.Count","DXXPT24X.Cumulative","DXXPT24X.Skip.to.Item"
"727.5 to 1262.2","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
