"WBXA027.Code.or.Value","WBXA027.Value.Description","WBXA027.Count","WBXA027.Cumulative","WBXA027.Skip.to.Item"
"-3.8729 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
