"LBC167LA.Code.or.Value","LBC167LA.Value.Description","LBC167LA.Count","LBC167LA.Cumulative","LBC167LA.Skip.to.Item"
"0.09192 to 7.139","Range of Values",260,260,NA
".","Missing",5,265,NA
