"SDUMHBPL.Code.or.Value","SDUMHBPL.Value.Description","SDUMHBPL.Count","SDUMHBPL.Cumulative","SDUMHBPL.Skip.to.Item"
"0","At or above the detection limit",1696,1696,NA
"1","Below lower detection limit",631,2327,NA
".","Missing",1,2328,NA
