"BIXC010K.Code.or.Value","BIXC010K.Value.Description","BIXC010K.Count","BIXC010K.Cumulative","BIXC010K.Skip.to.Item"
"17.22 to 643.54","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
