"LBX087.Code.or.Value","LBX087.Value.Description","LBX087.Count","LBX087.Cumulative","LBX087.Skip.to.Item"
"0.0004 to 0.2245","Range of Values",1892,1892,NA
".","Missing",393,2285,NA
