"SMD100LN.Code.or.Value","SMD100LN.Value.Description","SMD100LN.Count","SMD100LN.Cumulative","SMD100LN.Skip.to.Item"
"1","Regular (68-72 mm)",60,60,NA
"2","King (79-88 mm)",485,545,NA
"3","Long (94-101 mm)",381,926,NA
"4","Ultra long (110-121 mm)",3,929,NA
".","Missing",5795,6724,NA
