"WTSBA21.Code.or.Value","WTSBA21.Value.Description","WTSBA21.Count","WTSBA21.Cumulative","WTSBA21.Skip.to.Item"
"0 to 348215.59345","Range of Values",946,946,NA
".","Missing",65,1011,NA
