"LBD2DFLC.Code.or.Value","LBD2DFLC.Value.Description","LBD2DFLC.Count","LBD2DFLC.Cumulative","LBD2DFLC.Skip.to.Item"
"0","At or above detection limit",467,467,NA
"1","Below lower detection limit",2399,2866,NA
".","Missing",306,3172,NA
