"OPDUHOLL.Code.or.Value","OPDUHOLL.Value.Description","OPDUHOLL.Count","OPDUHOLL.Cumulative","OPDUHOLL.Skip.to.Item"
"0","No",3265,3265,NA
"1","Questionable",12,3277,NA
"2","Yes",11,3288,NA
".","Missing",575,3863,NA
