"LBXPFNA.Code.or.Value","LBXPFNA.Value.Description","LBXPFNA.Count","LBXPFNA.Cumulative","LBXPFNA.Skip.to.Item"
"0.07 to 6.5","Range of Values",1929,1929,NA
".","Missing",204,2133,NA
