"SSURHIBP.Code.or.Value","SSURHIBP.Value.Description","SSURHIBP.Count","SSURHIBP.Cumulative","SSURHIBP.Skip.to.Item"
"0.28 to 143.3","Range of Values",2327,2327,NA
".","Missing",1,2328,NA
