"RFXT100.Code.or.Value","RFXT100.Value.Description","RFXT100.Count","RFXT100.Cumulative","RFXT100.Skip.to.Item"
"867 to 876","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
