"WTSPP12.Code.or.Value","WTSPP12.Value.Description","WTSPP12.Count","WTSPP12.Cumulative","WTSPP12.Skip.to.Item"
"0 to 843176.28246","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
