"LBCBR66L.Code.or.Value","LBCBR66L.Value.Description","LBCBR66L.Count","LBCBR66L.Cumulative","LBCBR66L.Skip.to.Item"
"0.1131 to 1.134","Range of Values",265,265,NA
".","Missing",0,265,NA
