"LBXHCB.Code.or.Value","LBXHCB.Value.Description","LBXHCB.Count","LBXHCB.Cumulative","LBXHCB.Skip.to.Item"
"0.0116 to 1.1847","Range of Values",1961,1961,NA
".","Missing",376,2337,NA
