"DXXSPY.Code.or.Value","DXXSPY.Value.Description","DXXSPY.Count","DXXSPY.Cumulative","DXXSPY.Skip.to.Item"
"0 to 2","Range of Values",3251,3251,NA
".","Missing",457,3708,NA
