"DBD235c.Code.or.Value","DBD235c.Value.Description","DBD235c.Count","DBD235c.Cumulative","DBD235c.Skip.to.Item"
"0","Never",958,958,NA
"1","Rarely-less than once a week",313,1271,NA
"2","Sometimes-once a week or more, but less than once a day",1082,2353,NA
"3","Often-once a day or more",2391,4744,NA
"4","Varied",85,4829,NA
"7","Refused",5,4834,NA
"9","Don't know",45,4879,NA
".","Missing",5086,9965,NA
