"LBXBR4.Code.or.Value","LBXBR4.Value.Description","LBXBR4.Count","LBXBR4.Cumulative","LBXBR4.Skip.to.Item"
"3 to 450","Range of Values",2000,2000,NA
".","Missing",337,2337,NA
