"DR2TBCAR.Code.or.Value","DR2TBCAR.Value.Description","DR2TBCAR.Count","DR2TBCAR.Cumulative","DR2TBCAR.Skip.to.Item"
"0 to 201990","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
