"MCQ260GC.Code.or.Value","MCQ260GC.Value.Description","MCQ260GC.Count","MCQ260GC.Cumulative","MCQ260GC.Skip.to.Item"
"3","Mother's mother",50,50,NA
".","Missing",9595,9645,NA
