"RFXC168.Code.or.Value","RFXC168.Value.Description","RFXC168.Count","RFXC168.Cumulative","RFXC168.Skip.to.Item"
"-0.154 to 0.114","Range of Values",33667,33667,NA
".","Missing",54,33721,NA
