"LBXBL1.Code.or.Value","LBXBL1.Value.Description","LBXBL1.Count","LBXBL1.Cumulative","LBXBL1.Skip.to.Item"
"1","Negative",27,27,NA
"2","Positive",0,27,NA
"3","No result",343,370,NA
".","Missing",8809,9179,NA
