"URXCPM.Code.or.Value","URXCPM.Value.Description","URXCPM.Count","URXCPM.Cumulative","URXCPM.Skip.to.Item"
"0.07 to 67.5","Range of Values",2639,2639,NA
".","Missing",120,2759,NA
