"LBXVD3MS.Code.or.Value","LBXVD3MS.Value.Description","LBXVD3MS.Count","LBXVD3MS.Cumulative","LBXVD3MS.Skip.to.Item"
"6.2 to 421","Range of Values",7410,7410,NA
".","Missing",956,8366,NA
