"URDUACLC.Code.or.Value","URDUACLC.Value.Description","URDUACLC.Count","URDUACLC.Cumulative","URDUACLC.Skip.to.Item"
"0","At or above the detection limit",214,214,NA
"1","Below lower detection limit",2611,2825,NA
".","Missing",154,2979,NA
