"MPQ120AC.Code.or.Value","MPQ120AC.Value.Description","MPQ120AC.Count","MPQ120AC.Cumulative","MPQ120AC.Skip.to.Item"
"38","Hand - right",143,143,NA
".","Missing",4898,5041,NA
