"HSQ571.Code.or.Value","HSQ571.Value.Description","HSQ571.Count","HSQ571.Cumulative","HSQ571.Skip.to.Item"
"1","Yes",276,276,""
"2","No",5140,5416,"HSQ590"
"7","Refused",0,5416,"HSQ590"
"9","Don't know",3,5419,"HSQ590"
".","Missing",2947,8366,""
