"LB2SCH.Code.or.Value","LB2SCH.Value.Description","LB2SCH.Count","LB2SCH.Cumulative","LB2SCH.Skip.to.Item"
"72 to 342","Range of Values",544,544,NA
".","Missing",2,546,NA
