"MPQ120L.Code.or.Value","MPQ120L.Value.Description","MPQ120L.Count","MPQ120L.Cumulative","MPQ120L.Skip.to.Item"
"21","Upper back - left",138,138,NA
".","Missing",4903,5041,NA
