"WTMREP02.Code.or.Value","WTMREP02.Value.Description","WTMREP02.Count","WTMREP02.Cumulative","WTMREP02.Skip.to.Item"
"0 to 260734.52777","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
