"URDAPELC.Code.or.Value","URDAPELC.Value.Description","URDAPELC.Count","URDAPELC.Cumulative","URDAPELC.Skip.to.Item"
"0","At or above the detection limit",45,45,NA
"1","Below lower detection limit",2460,2505,NA
".","Missing",189,2694,NA
