"DX2RRA.Code.or.Value","DX2RRA.Value.Description","DX2RRA.Count","DX2RRA.Cumulative","DX2RRA.Skip.to.Item"
"71.97 to 206.47","Range of Values",443,443,NA
".","Missing",42,485,NA
