"SMQ690K.Code.or.Value","SMQ690K.Value.Description","SMQ690K.Count","SMQ690K.Cumulative","SMQ690K.Skip.to.Item"
"11","Other Smokeless",3,3,NA
".","Missing",6398,6401,NA
