"BPQ100B.Code.or.Value","BPQ100B.Value.Description","BPQ100B.Count","BPQ100B.Cumulative","BPQ100B.Skip.to.Item"
"1","Yes",1000,1000,NA
"2","No",188,1188,NA
"7","Refused",0,1188,NA
"9","Don't know",1,1189,NA
".","Missing",5700,6889,NA
