"SSSHBG.Code.or.Value","SSSHBG.Value.Description","SSSHBG.Count","SSSHBG.Cumulative","SSSHBG.Skip.to.Item"
"3.7 to 175.8","Range of Values",486,486,NA
".","Missing",4,490,NA
