"LBCF01.Code.or.Value","LBCF01.Value.Description","LBCF01.Count","LBCF01.Cumulative","LBCF01.Skip.to.Item"
"0.6152 to 8.269","Range of Values",285,285,NA
".","Missing",16,301,NA
