"RFXT088.Code.or.Value","RFXT088.Value.Description","RFXT088.Count","RFXT088.Cumulative","RFXT088.Skip.to.Item"
"761 to 769","Range of Values",33694,33694,NA
".","Missing",27,33721,NA
