"OPDDD500.Code.or.Value","OPDDD500.Value.Description","OPDDD500.Count","OPDDD500.Cumulative","OPDDD500.Skip.to.Item"
"0","No",2980,2980,NA
"1","Yes",95,3075,NA
".","Missing",788,3863,NA
