"PUD034.Code.or.Value","PUD034.Value.Description","PUD034.Count","PUD034.Cumulative","PUD034.Skip.to.Item"
"1","One time only",782,782,NA
"2","Two or more times",66,848,NA
".","Missing",9274,10122,NA
