"DXXPT77Y.Code.or.Value","DXXPT77Y.Value.Description","DXXPT77Y.Count","DXXPT77Y.Cumulative","DXXPT77Y.Skip.to.Item"
"138.8 to 354.8","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
