"LBXF08.Code.or.Value","LBXF08.Value.Description","LBXF08.Count","LBXF08.Cumulative","LBXF08.Skip.to.Item"
"6.29 to 2036.8","Range of Values",1858,1858,NA
".","Missing",427,2285,NA
