"OPDDIRMA.Code.or.Value","OPDDIRMA.Value.Description","OPDDIRMA.Count","OPDDIRMA.Cumulative","OPDDIRMA.Skip.to.Item"
"0","None",3101,3101,NA
"1","Questionable",34,3135,NA
"2","< 8A",24,3159,NA
"3",">= 8A",6,3165,NA
".","Missing",698,3863,NA
