"PFD069aQ.Code.or.Value","PFD069aQ.Value.Description","PFD069aQ.Count","PFD069aQ.Cumulative","PFD069aQ.Skip.to.Item"
"1 to 75","Range of Values",663,663,NA
"77777","Refused",0,663,NA
"99999","Don't know",0,663,NA
".","Missing",8830,9493,NA
