"OCQ430.Code.or.Value","OCQ430.Value.Description","OCQ430.Count","OCQ430.Cumulative","OCQ430.Skip.to.Item"
"1","Yes",871,871,""
"2","No",357,1228,"OCQ460"
"7","Refused",0,1228,"OCQ460"
"9","Don't know",0,1228,"OCQ460"
".","Missing",4985,6213,""
