"DSXFD1LD.Code.or.Value","DSXFD1LD.Value.Description","DSXFD1LD.Count","DSXFD1LD.Cumulative","DSXFD1LD.Skip.to.Item"
"0.2 to 0.2","Range of Values",741,741,NA
".","Missing",8699,9440,NA
