"WTSPP10.Code.or.Value","WTSPP10.Value.Description","WTSPP10.Count","WTSPP10.Cumulative","WTSPP10.Skip.to.Item"
"0 to 848485.88488","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
