"DCD030.Code.or.Value","DCD030.Value.Description","DCD030.Count","DCD030.Cumulative","DCD030.Skip.to.Item"
"2","Living Room/Family Room/Den",971,971,NA
"3","Dining Room",19,990,NA
"4","Kitchen",23,1013,NA
"5","Bedroom",155,1168,NA
"7","Another room",27,1195,NA
".","Missing",72,1267,NA
