"WBXA051.Code.or.Value","WBXA051.Value.Description","WBXA051.Count","WBXA051.Cumulative","WBXA051.Skip.to.Item"
"-40.5167 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
