"AUDTYL03.Code.or.Value","AUDTYL03.Value.Description","AUDTYL03.Count","AUDTYL03.Cumulative","AUDTYL03.Skip.to.Item"
"0 to 2","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
